mode,variant,trials_seen,max_peak_gib,max_current_gib,max_step_seen,oom_events,gpucheck_pass,gpucheck_fail,safe_for_40gb_rule_of_thumb
batch32,deep_d256_b6_r2,6,10.63,0.19,12000,1,6,0,likely
batch32,main_d256_b4_r2,6,7.2,0.16,12000,4,6,0,likely
batch32,mlpwide_d256_b4_r4,6,8.61,0.17,12000,5,6,0,likely
batch32,narrow_d192_b4_r2,6,5.62,0.14,12000,2,6,0,likely
batch32,shallow_d256_b2_r2,6,3.76,0.13,12000,1,6,0,likely
batch32,wide_d320_b4_r2,6,8.78,0.19,10800,6,6,0,likely
batch32,wide_deep_d320_b6_r2,6,13.0,0.23,12000,5,6,0,likely
lowmem_batch16,deep_d256_b6_r2,6,5.38,0.15,12000,0,6,0,likely
lowmem_batch16,main_d256_b4_r2,6,3.64,0.12,12000,0,6,0,likely
lowmem_batch16,mlpwide_d256_b4_r4,6,4.35,0.13,12000,2,6,0,likely
lowmem_batch16,narrow_d192_b4_r2,6,2.84,0.1,12000,0,6,0,likely
lowmem_batch16,shallow_d256_b2_r2,6,1.9,0.09,12000,0,6,0,likely
lowmem_batch16,wide_d320_b4_r2,6,4.45,0.15,12000,2,6,0,likely
lowmem_batch16,wide_deep_d320_b6_r2,6,6.59,0.19,12000,4,6,0,likely
ultralow_batch8,mlpwide_d256_b4_r4,2,2.23,0.11,12000,0,2,0,likely
ultralow_batch8,wide_d320_b4_r2,2,2.28,0.12,12000,0,2,0,likely
ultralow_batch8,wide_deep_d320_b6_r2,1,3.38,0.16,12000,0,1,0,likely
